year	site	gap	tag	burn_yr	sv0708	sv0807	sago06	sago05	sago04	sago03	sago02	sago01	ht08	ht07	ht06	ht05	ht04	ht03	ht02	ht01	rep0708	rep0807	rep806	rep05	rep04	rep03	rep02	rep01	stm08	stm07	stm06	stm05	stm04	stm03	stm02	stm01	sv0709	sv0708	sv0807	sago06	sago05	sago04	sago03	sago02	ht09	ht08	ht07	ht06	ht05	ht04	ht03	ht02	rep09	rep0708	rep0807	rep806	rep05	rep04	rep03	rep02
2002	103	5161	37	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	41	31	2	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	41	31	2	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	38	2001	2	2	2	2	2	1	5	NA	NA	NA	NA	NA	NA	28	6	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	2	1	5	NA	NA	NA	NA	NA	NA	28	6	NA	NA	NA	NA	NA	NA	0	0
2002	103	5161	39	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	42	50	6	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	42	50	6	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	40	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	27	25	7	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	27	25	7	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	41	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	18	23	4	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	18	23	4	NA	NA	NA	NA	NA	0	1	0
2002	103	5161	42	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	21	45	7	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	21	45	7	NA	NA	NA	NA	NA	0	1	0
2002	103	5161	43	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	52	43	9	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	52	43	9	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	44	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	41	41	17	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	41	41	17	NA	NA	NA	NA	NA	0	1	0
2002	103	5176	45	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	23	4	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	23	4	NA	NA	NA	NA	NA	NA	1	0
2002	103	5176	46	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	29	2	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	29	2	NA	NA	NA	NA	NA	NA	1	0
2002	103	5176	47	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	21	2	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	21	2	NA	NA	NA	NA	NA	NA	1	0
2002	103	5176	48	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	31	2	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	31	2	NA	NA	NA	NA	NA	NA	1	0
2002	103	5176	49	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	NA	NA	NA	0	0
2002	103	5176	50	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	19	2	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	19	2	NA	NA	NA	NA	NA	NA	1	0
2002	103	5176	51	2001	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0
2002	103	5176	51	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	26	3	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	26	3	NA	NA	NA	NA	NA	NA	1	0
2002	103	5176	52	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	17	1	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	17	1	NA	NA	NA	NA	NA	NA	0	0
2002	103	5176	53	2001	2	2	2	2	2	1	5	NA	NA	NA	NA	NA	NA	38	4	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	2	1	5	NA	NA	NA	NA	NA	NA	38	4	NA	NA	NA	NA	NA	NA	1	0
2002	103	5176	54	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	31	4	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	31	4	NA	NA	NA	NA	NA	NA	1	0
2002	103	5176	55	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	19	1	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	19	1	NA	NA	NA	NA	NA	NA	0	0
2002	103	5176	56	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	38	7	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	38	7	NA	NA	NA	NA	NA	NA	1	0
2002	103	5176	57	2001	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	30	3	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	0	1	5	NA	NA	NA	NA	NA	NA	30	3	NA	NA	NA	NA	NA	NA	1	0
2002	103	5176	58	2001	9	9	9	0	1	1	5	NA	NA	NA	NA	NA	49	43	7	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	0	1	1	5	NA	NA	NA	NA	NA	49	43	7	NA	NA	NA	NA	NA	1	1	0
2002	103	5176	59	2001	9	9	9	0	1	1	5	NA	NA	NA	NA	NA	37	18	2	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	0	1	1	5	NA	NA	NA	NA	NA	37	18	2	NA	NA	NA	NA	NA	1	0	0
2002	103	5176	60	2001	9	9	9	0	1	1	5	NA	NA	NA	NA	NA	49	45	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	0	1	1	5	NA	NA	NA	NA	NA	49	45	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	61	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	41	22	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	41	22	NA	NA	NA	NA	NA	1	1	1
2002	103	5248	62	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	21	8	16	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	21	8	16	NA	NA	NA	NA	NA	0	0	0
2002	103	5248	63	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	33	25	3	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	33	25	3	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	64	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	44	12	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	44	12	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	65	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	49	61	26	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	49	61	26	NA	NA	NA	NA	NA	1	1	1
